title,body,lecture_number,section_number,section_name,user_id,course_id
Gem Intro,"<p>Repo...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-18"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-18</a></p>
 
 <p># <a href=""https://rubygems.org/"" target=""_blank"" rel=""noopener"">https://rubygems.org/</a></p>
 
 <p># <a href=""https://github.com/jnunemaker/httparty"" target=""_blank"" rel=""noopener"">https://github.com/jnunemaker/httparty</a></p>
 
 <p>&nbsp;</p>
 
 <p>Site used to grab data:</p>
 
 <p># <a href=""https://udemy-api.herokuapp.com/"" target=""_blank"" rel=""noopener"">https://udemy-api.herokuapp.com/</a></p>",88,-,Section 18 - Gems,1,1
What is the Super keyword?,"<p>Repo...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-20"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-20</a></p>",96,-,Section 20 - Ruby Gaming,1,1
Galigoo Intro,"<p>Game Media</p>
 
 <p><a href=""https://github.com/schesnowitz/game-media"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/game-media</a></p>",100,-,Section 21 - Galigoo,1,1
Local Variables,"<p>Git Repo for this section...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-2-3-4"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-2-3-4</a></p>",15,-,Section 3 - Variables,1,1
VM Setup,"<p># Cloud 9 IDE</p>
 
 <p><a href=""https://c9.io/"" target=""_blank"" rel=""noopener"">https://c9.io/</a></p>
 
 <p># Virtual Box</p>
 
 <p><a href=""https://www.virtualbox.org/wiki/Downloads"" target=""_blank"" rel=""noopener"">https://www.virtualbox.org/wiki/Downloads</a></p>
 
 <p># Link to download Ubuntu machine image</p>
 
 <p><a href=""https://drive.google.com/file/d/0B0z-XC2F2egBSkQ2cFFuMk9ER1k/view?usp=sharing"" target=""_blank"" rel=""noopener"">https://drive.google.com/file/d/0B0z-XC2F2egBSkQ2cFFuMk9ER1k/view?usp=sharing</a></p>
 
 <p># password for Ubuntu machine</p>
 
 <p>machine password = ruby</p>
 
 <p># Ruby version manager</p>
 
 <p><a href=""rvm.io"" target=""_blank"" rel=""noopener"">rvm.io</a></p>
 
 <p># Install Gdebi on Ubuntu command</p>
 
 <p>sudo apt install gdebi</p>
 
 <p># Visual Studio homepage</p>
 
 <p><a href=""https://code.visualstudio.com"" target=""_blank"" rel=""noopener"">https://code.visualstudio.com</a></p>
 
 <p># Ruby Gems</p>
 
 <p><a href=""https://rubygems.org/"" target=""_blank"" rel=""noopener"">https://rubygems.org/</a></p>
 
 <p># Ruby Gem Guide</p>
 
 <p><a href=""http://guides.rubygems.org/make-your-own-gem/"" target=""_blank"" rel=""noopener"">http://guides.rubygems.org/make-your-own-gem/</a></p>
 
 <p># Visual Code Studio settings</p>
 
 <p><a href=""https://gist.github.com/schesnowitz/aaa23159504fc2ba659dadf8eea86fb0"" target=""_blank"" rel=""noopener"">https://gist.github.com/schesnowitz/aaa23159504fc2ba659dadf8eea86fb0</a></p>",92,-,Section 19 - Build A Gem,1,1
Git Hub,"<p>Create an account at:&nbsp;<a href=""https://github.com/"" target=""_blank"" rel=""noopener"">https://github.com/</a></p>
 
 <p>Download installer from:&nbsp;<a href=""https://git-scm.com/"" target=""_blank"" rel=""noopener"">https://git-scm.com/</a></p>
 
 <p>&nbsp;</p>",4,-,Section 2 - The Set Up,1,2
CMDER,"<p>Download (if using windows):&nbsp;<a href=""http://cmder.net/"" target=""_blank"" rel=""noopener"">http://cmder.net/</a></p>
 
 <p>&nbsp;</p>",5,-,Section 2 - The Set Up,1,2
VS Code,"<p>Download:&nbsp;<a href=""https://code.visualstudio.com/"" target=""_blank"" rel=""noopener"">https://code.visualstudio.com/</a></p>",6,-,Section 2 - The Set Up,1,2
Clone and Commit,"<p>Repo to clone:&nbsp;<a href=""https://github.com/schesnowitz/rails-app"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-app</a>&nbsp;</p>
 
 <p>New Repo created in this video can be found at:&nbsp;<a href=""https://github.com/schesnowitz/my-website"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/my-website</a></p>",8,-,Section 2 - The Set Up,1,2
Run Nanobox,"<p><a href=""https://nanobox.io/"" target=""_blank"" rel=""noopener"">https://nanobox.io/</a></p>
 
 <p>boxfile can be found at:&nbsp;<a href=""https://github.com/schesnowitz/my-website/blob/nanobox/boxfile.yml"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/my-website/blob/nanobox/boxfile.yml</a></p>",10,-,Section 2 - The Set Up,1,2
Configre App With Nanobox,"<p>To copy the code used in this video it is probably best to copy from my repo as nanobox may update thier code from time to time.&nbsp; So we are all on the same page, grab all code from:</p>
 
 <p>NOTE:&nbsp; Feel free to go ahead with the nanobox setup(registration) as all services we use in the course are free.&nbsp;</p>
 
 <p>I have a note about this in the deploy section but there is now no need to ""scale"" your nanobox container when we deploy, feel free to use the default settings when we deploy(This will make more sense in that section).&nbsp; Please keep this in mind as to scale up will mean you need to pay $10 a month -- Again, no need to pay.&nbsp; &nbsp;</p>
 
 <p>&nbsp;</p>
 
 <p>Base app that is cloned in the video:&nbsp;<a href=""https://github.com/schesnowitz/rails-app"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-app</a></p>
 
 <p>&nbsp;</p>
 
 <p>App configured to use Nanobox:&nbsp;<a href=""https://github.com/schesnowitz/my-website/tree/nanobox"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/my-website/tree/nanobox</a></p>
 
 <p>&nbsp;</p>",9,-,Section 2 - The Set Up,1,2
The Seven Methods,"<p>Wiki: <a href=""https://en.wikipedia.org/wiki/Create,_read,_update_and_delete"" target=""_blank"" rel=""noopener"">https://en.wikipedia.org/wiki/Create,_read,_update_and_delete</a></p>
 
 <p>Git: <a href=""https://github.com/schesnowitz/my-website/tree/crud_posts"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/my-website/tree/crud_posts</a></p>",13,-,"Section 4 - Rails CRUD (create, read, update, destroy)",1,2
Compare Scaffold,"<p>Section Repo:&nbsp;&nbsp;<a href=""https://github.com/schesnowitz/my-website/tree/scaffold_hosts"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/my-website/tree/scaffold_hosts</a></p>",28,-,Section 5 - Generators,1,2
Style,"<p>Git Repo:&nbsp;<a href=""Git%20Repo: https:/github.com/schesnowitz/my-website/tree/style_and_form"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/my-website/tree/style_and_form</a></p>
 
 <p># bootstrap gem</p>
 
 <p><a href=""https://rubygems.org/gems/bootstrap/"" target=""_blank"" rel=""noopener"">https://rubygems.org/gems/bootstrap/</a></p>
 
 <p># bootstrap gem homepage</p>
 
 <p><a href=""https://github.com/twbs/bootstrap-rubygem"" target=""_blank"" rel=""noopener"">https://github.com/twbs/bootstrap-rubygem</a></p>
 
 <p># bootstrap homepage</p>
 
 <p><a href=""http://getbootstrap.com"" target=""_blank"" rel=""noopener"">http://getbootstrap.com</a></p>
 
 <p># simple form</p>
 
 <p><a href=""https://rubygems.org/gems/simple_form/versions/3.5.0"" target=""_blank"" rel=""noopener"">https://rubygems.org/gems/simple_form/versions/3.5.0</a></p>",31,-,Section 6 - Gems and Forms,1,2
Setting The Container,"<p>Repo:</p>
 
 <p><a href=""https://github.com/schesnowitz/my-website/tree/app_build"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/my-website/tree/app_build</a></p>",33,-,Section 7 - An App With Users,1,2
Rolling Back,"<p>Git Repo:</p>
 
 <p>Clone a branch: <a href=""https://stackoverflow.com/questions/1911109/how-to-clone-a-specific-git-branch"" target=""_blank"" rel=""noopener"">https://stackoverflow.com/questions/1911109/how-to-clone-a-specific-git-branch</a></p>
 
 <p>Branch to clone: <code>git clone -b nanobox&nbsp;https://github.com/schesnowitz/my-website</code></p>
 
 <p>&nbsp;</p>",10,-,Section 1 - The Set Up,1,2
Set up Users,"<p>Git Branch (completed section 8):&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/users"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/users</a></p>
 
 <p>Simple Form:&nbsp;&nbsp;<a title=""Simple Form"" href=""https://github.com/plataformatec/simple_form"" target=""_blank"" rel=""noopener"">https://github.com/plataformatec/simple_form</a></p>
 
 <p>Rubygems:&nbsp;<a href=""https://rubygems.org/gems/simple_form/versions/3.5.0"" target=""_blank"" rel=""noopener"">https://rubygems.org/gems/simple_form/versions/3.5.0</a></p>
 
 <p>Devise:&nbsp;<a href=""https://github.com/plataformatec/devise"" target=""_blank"" rel=""noopener"">https://github.com/plataformatec/devise</a></p>
 
 <p>Rubygems:&nbsp;<a href=""https://rubygems.org/gems/devise/versions/4.4.0"" target=""_blank"" rel=""noopener"">https://rubygems.org/gems/devise/versions/4.4.0</a></p>",43,-,Section 8 - Users With Custom Fields,1,2
Prepare The Theme,"<p>Git:&nbsp;</p>
 
 <p>&nbsp;</p>
 
 <p>The Front End Template can be found here:</p>
 
 <p><a href=""https://github.com/schesnowitz/rails-beginners-app/blob/template/template.zip"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/blob/template/template.zip</a></p>",87,-,Section 17 - Front End,1,2
Add Administrator,"<p>Git Branch:&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/administration"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/administration</a></p>",96,-,Section 18 - Administration,1,2
Nanobox Behind The Scenes,<p>No Github commits made during this section.</p>,11,-,Section 3 - Overview,1,2
SetUp,"<p>Git:&nbsp;&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/comment"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/comment</a></p>",56,-,Section 10 - Recover Password,1,2
Posts Scaffold,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/commits/comment"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/commits/comment</a>&nbsp; (see the different branches inside this section for code changes)</p>",50,-,Section 9 - Posts With Comments,1,2
Generate A Mailer,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/commits/comment-mailer"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/commits/comment-mailer</a></p>",59,-,Section 11 - Send Comment Emails,1,2
User Data,"<p>Git <a href=""https://github.com/schesnowitz/rails-beginners-app/commits/seeding"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/commits/seeding</a></p>",64,-,Section 12 - Seeding Data,1,2
Fake Data,"<p><a href=""https://github.com/stympy/faker"" target=""_blank"" rel=""noopener"">https://github.com/stympy/faker</a></p>",65,-,Section 12 - Seeding Data,1,2
Sidekiq And Redis,"<p>Git <a href=""https://github.com/schesnowitz/rails-beginners-app/tree/sidekiq"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/sidekiq</a></p>
 
 <p>Redis&nbsp;<a href=""https://redis.io/"" target=""_blank"" rel=""noopener"">https://redis.io/</a></p>
 
 <p>Sidekiq&nbsp;<a href=""https://github.com/mperham/sidekiq"" target=""_blank"" rel=""noopener"">https://github.com/mperham/sidekiq</a></p>
 
 <p>Nanobox Redis&nbsp;<a href=""https://guides.nanobox.io/redis/create/"" target=""_blank"" rel=""noopener"">https://guides.nanobox.io/redis/create/</a></p>
 
 <p>&nbsp;</p>",66,-,Section 13 - Run It In The Background,1,2
Carrierwave,"<p>Git Repo&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/carrier"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/carrier</a></p>
 
 <p>CarrierWave <a href=""https://github.com/carrierwaveuploader/carrierwave"" target=""_blank"" rel=""noopener""><span style=""font-family: Arial;""><span style=""font-size: 13.3333px;"">https://github.com/carrierwaveuploader/carrierwave</span></span></a></p>
 
 <p>&nbsp;</p>",68,-,Section 14 - User Image,1,2
Custom CSS,"<p>Git Repo&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/using-css"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/using-css</a></p>
 
 <p>Themes&nbsp;<a href=""https://bootswatch.com/"" target=""_blank"" rel=""noopener"">https://bootswatch.com/</a></p>
 
 <p>&nbsp;</p>",72,-,Section 15 - Free Templating,1,2
Validations,"<p>Git&nbsp; <a href=""https://github.com/schesnowitz/rails-beginners-app/tree/potpourri"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/potpourri</a></p>
 
 <p>ApiDock&nbsp;<a href=""https://apidock.com/rails/ActiveModel/Validations/ClassMethods/validates"" target=""_blank"" rel=""noopener"">https://apidock.com/rails/ActiveModel/Validations/ClassMethods/validates</a></p>
 
 <p>Lorem Ipsum&nbsp;<a title=""https://www.lipsum.com/"" href=""https://www.lipsum.com/"" target=""_blank"" rel=""noopener"">https://www.lipsum.com/</a></p>
 
 <p>HTML Formatter&nbsp;<a href=""https://www.freeformatter.com/html-formatter.html"" target=""_blank"" rel=""noopener"">https://www.freeformatter.com/html-formatter.html</a></p>
 
 <p>&nbsp;</p>
 
 <p>&nbsp;</p>",82,-,Section 16 - Potpourri,1,2
Comment Buttons,"<p>Git <a href=""https://github.com/schesnowitz/rails-beginners-app/commits/administration"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/commits/administration</a></p>",103,-,Section 19 - User Authorization,1,2
Theme Images,"<p>Git <a href=""https://github.com/schesnowitz/rails-beginners-app/commits/themeImage"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/commits/themeImage</a></p>",109,-,Section 21 - Theme Image,1,2
Sign Out Flasher,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/commits/user-access"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/commits/user-access</a></p>",107,-,Section 20 - User Access,1,2
Redirect The Admin,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/commits/content-management"">https://github.com/schesnowitz/rails-beginners-app/commits/content-management</a></p>",110,-,Section 22 - Content Management,1,2
Action Inputs,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/action"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/action</a></p>",137,-,Section 24 - Action,1,2
Header Inputs and Show,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/header"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/header</a></p>",142,-,Section 25 - Header,1,2
Time and Fa Fa,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/footer"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/footer</a></p>",145,-,Section 26 - Footer,1,2
Template Needs Administration,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/template-auth"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/template-auth</a></p>",153,-,Section 28 - Template Authorization,1,2
Tweak,"<p><strong>Note:&nbsp; Just a couple of weeks after recording, Digital Ocean boosted the performance on all their droplets and so there is no need to ""scale up"" to the $10 version as I do in the upcoming video.&nbsp; Feel free to leave the droplet set to the $5 version and you should be good to go.</strong></p>
 
 <p><strong>To get $10 free @ Digital Ocean&nbsp;<a href=""https://m.do.co/c/68fc0173ab04"" target=""_blank"" rel=""noopener"">https://m.do.co/c/68fc0173ab04</a></strong></p>
 
 <p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/first_deploy"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/first_deploy</a></p>",154,-,Section 29 - Deploy,1,2
Contact Migration,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/incoming_mail"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/incoming_mail</a></p>",160,-,Section 30 - Receive Mail,1,2
Admin Navi,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/admin_nav_fix"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/admin_nav_fix</a></p>
 
 <p>&nbsp;</p>",167,-,Section 31 - Admin Navi,1,2
Set up,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/post_home"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/post_home</a></p>",168,-,Section 32 - Post On Home,1,2
